model,top1_acc,macro_f1,mean_max_conf
resnet50_linear_head,0.966,0.9659515312504506,0.8875350952148438
vit_b16_linear_head,0.968,0.9681246626660442,0.9683271050453186
clip_linear_head,0.964,0.9639100727835179,0.2407909482717514
clip_zero_shot,0.936,0.9355462540236349,0.9246218800544739
