model,grayscale_stability,shuffle_stability,translation_stability,cue_conflict_stability
resnet50,0.7867665886878967,0.7184070944786072,0.9515272974967957,0.2125205248594284
vit_b16,0.7368044853210449,0.6417129635810852,0.9765773415565491,0.17698955535888672
clip,0.8940714597702026,0.7296169400215149,0.9660305976867676,0.6514478921890259
